Chinese,Pinyin,English,HSK,Game level,Village use,Practice
零,líng,zero,1,1,Settlement: base correct-answer multiplier,Target/weapon + matching; reuse in sentences
一,yī,one,1,1,Settlement: base correct-answer multiplier,Target/weapon + matching; reuse in sentences
二,èr,two,1,1,Settlement: base correct-answer multiplier,Target/weapon + matching; reuse in sentences
三,sān,three,1,1,Settlement: base correct-answer multiplier,Target/weapon + matching; reuse in sentences
四,sì,four,1,1,Settlement: base correct-answer multiplier,Target/weapon + matching; reuse in sentences
五,wǔ,five,1,1,Settlement: base correct-answer multiplier,Target/weapon + matching; reuse in sentences
六,liù,six,1,1,Settlement: base correct-answer multiplier,Target/weapon + matching; reuse in sentences
七,qī,seven,1,1,Settlement: base correct-answer multiplier,Target/weapon + matching; reuse in sentences
八,bā,eight,1,1,Settlement: base correct-answer multiplier,Target/weapon + matching; reuse in sentences
九,jiǔ,nine,1,1,Settlement: base correct-answer multiplier,Target/weapon + matching; reuse in sentences
十,shí,ten,1,2,Stall: quantity purchases and number-match multiplier,Target/weapon + matching; reuse in sentences
两,liǎng,two (quantities),2,2,Stall: quantity purchases and number-match multiplier,Target/weapon + matching; reuse in sentences
百,bǎi,hundred,2,3,Counting house: number rewards and first prestige milestone,Target/weapon + matching; reuse in sentences
千,qiān,thousand,2,3,Counting house: number rewards and first prestige milestone,Target/weapon + matching; reuse in sentences
钱,qián,money,1,3,Counting house: number rewards and first prestige milestone,Target/weapon + matching; reuse in sentences
块,kuài,yuan (colloquial),1,3,Counting house: number rewards and first prestige milestone,Target/weapon + matching; reuse in sentences
元,yuán,yuan,2,3,Counting house: number rewards and first prestige milestone,Target/weapon + matching; reuse in sentences
多少,duōshao,how much / how many,1,3,Counting house: number rewards and first prestige milestone,Target/weapon + matching; reuse in sentences
多,duō,many / much,1,3,Counting house: number rewards and first prestige milestone,Target/weapon + matching; reuse in sentences
少,shǎo,few / little,1,3,Counting house: number rewards and first prestige milestone,Target/weapon + matching; reuse in sentences
我,wǒ,I / me,1,4,Home: village-wide correct-answer multiplier,Target/weapon + matching; reuse in sentences
你,nǐ,you,1,4,Home: village-wide correct-answer multiplier,Target/weapon + matching; reuse in sentences
他,tā,he / him,1,4,Home: village-wide correct-answer multiplier,Target/weapon + matching; reuse in sentences
她,tā,she / her,1,4,Home: village-wide correct-answer multiplier,Target/weapon + matching; reuse in sentences
我们,wǒmen,we / us,1,4,Home: village-wide correct-answer multiplier,Target/weapon + matching; reuse in sentences
人,rén,person,1,4,Home: village-wide correct-answer multiplier,Target/weapon + matching; reuse in sentences
名字,míngzi,name,1,4,Home: village-wide correct-answer multiplier,Target/weapon + matching; reuse in sentences
叫,jiào,be called / call,1,4,Home: village-wide correct-answer multiplier,Target/weapon + matching; reuse in sentences
是,shì,be,1,4,Home: village-wide correct-answer multiplier,Target/weapon + matching; reuse in sentences
的,de,possessive / modifying particle,1,4,Home: village-wide correct-answer multiplier,Context/order + matching
吗,ma,yes-no question particle,1,4,Home: village-wide correct-answer multiplier,Context/order + matching
谁,shéi,who,1,4,Home: village-wide correct-answer multiplier,Target/weapon + matching; reuse in sentences
姓,xìng,surname / be surnamed,2,4,Home: village-wide correct-answer multiplier,Target/weapon + matching; reuse in sentences
家,jiā,home / family,1,5,Housing plots: location-puzzle reward multiplier,Target/weapon + matching; reuse in sentences
住,zhù,live / stay,1,5,Housing plots: location-puzzle reward multiplier,Target/weapon + matching; reuse in sentences
来,lái,come,1,5,Housing plots: location-puzzle reward multiplier,Target/weapon + matching; reuse in sentences
去,qù,go,1,5,Housing plots: location-puzzle reward multiplier,Target/weapon + matching; reuse in sentences
回,huí,return,1,5,Housing plots: location-puzzle reward multiplier,Target/weapon + matching; reuse in sentences
这（这儿）,zhè (zhèr),this / here,1,5,Housing plots: location-puzzle reward multiplier,Target/weapon + matching; reuse in sentences
那（那儿）,nà (nàr),that / there,1,5,Housing plots: location-puzzle reward multiplier,Target/weapon + matching; reuse in sentences
哪（哪儿）,nǎ (nǎr),which / where,1,5,Housing plots: location-puzzle reward multiplier,Target/weapon + matching; reuse in sentences
在,zài,at / in,1,5,Housing plots: location-puzzle reward multiplier,Target/weapon + matching; reuse in sentences
有,yǒu,have / there is,1,5,Housing plots: location-puzzle reward multiplier,Target/weapon + matching; reuse in sentences
没,méi,not / did not (negation of 有 or past actions),1,5,Housing plots: location-puzzle reward multiplier,Target/weapon + matching; reuse in sentences
水,shuǐ,water,1,6,Tea stall: word-hit reward multiplier,Target/weapon + matching; reuse in sentences
茶,chá,tea,1,6,Tea stall: word-hit reward multiplier,Target/weapon + matching; reuse in sentences
喝,hē,drink,1,6,Tea stall: word-hit reward multiplier,Target/weapon + matching; reuse in sentences
杯子,bēizi,cup,1,6,Tea stall: word-hit reward multiplier,Target/weapon + matching; reuse in sentences
个,gè,general classifier,1,6,Tea stall: word-hit reward multiplier,Target/weapon + matching; reuse in sentences
要,yào,want / need,2,6,Tea stall: word-hit reward multiplier,Target/weapon + matching; reuse in sentences
想,xiǎng,want / think,1,6,Tea stall: word-hit reward multiplier,Target/weapon + matching; reuse in sentences
好,hǎo,good,1,6,Tea stall: word-hit reward multiplier,Target/weapon + matching; reuse in sentences
不,bù,not,1,6,Tea stall: word-hit reward multiplier,Target/weapon + matching; reuse in sentences
很,hěn,very / adjective linking adverb,1,6,Tea stall: word-hit reward multiplier,Target/weapon + matching; reuse in sentences
请,qǐng,please / invite,1,6,Tea stall: word-hit reward multiplier,Target/weapon + matching; reuse in sentences
